Hour,Solar_Capacity_Factor,Wind_Capacity_Factor,Hydrogen_variable,Wind_Capacity_Factor_2
0:00,0,0.191,0.6451,0.3549
1:00,0,0.19,0.6915,0.3085
2:00,0,0.187,0.7202,0.2798
3:00,0,0.179,0.7346,0.2654
4:00,0,0.172,0.7453,0.2547
5:00,0,0.161,0.7595,0.2405
6:00,0.02,0.15,0.7738,0.2262
7:00,0.1,0.144,0.7881,0.2119
8:00,0.2,0.143,0.7983,0.2017
9:00,0.3,0.151,0.8053,0.1947
10:00,0.4,0.163,0.809,0.191
11:00,0.5,0.182,0.8071,0.1929
12:00,0.55,0.21,0.8096,0.1904
13:00,0.5,0.247,0.8158,0.1842
14:00,0.4,0.285,0.812,0.188
15:00,0.3,0.313,0.81,0.19
16:00,0.2,0.328,0.7487,0.2513
17:00,0.1,0.332,0.6629,0.3371
18:00,0.02,0.333,0.597,0.403
19:00,0,0.332,0.5071,0.4929
20:00,0,0.327,0.3775,0.6225
21:00,0,0.327,0.2498,0.7502
22:00,0,0.324,0.1721,0.8279
23:00,0,0.313,0.1283,0.8717
