Hour,Inertia,RoCoF,Deltaf_nadir_re,Deltaf_nadir_rg_2,Inertia_energy,Net_Demand,pl,rb_per_hour,re_per_hour,rg_per_hour
1,1.956989247311828,0.4295942720763723,0.04296081448393828,0,113.75,16.20000000000001,1800.0,1799.941875,0.0,0.0
2,1.956989247311828,0.4295942720763723,0.04296081448393828,0,113.75,15.700000000000003,1800.0,1799.941875,0.0,0.0
3,1.956989247311828,0.4295942720763723,0.04296081448393828,0,113.75,15.95000000000001,1800.0,1799.941875,0.0,0.0
4,1.956989247311828,0.4295942720763723,0.04296081448393828,0,113.75,16.186978314316082,1800.0,1799.941875,0.0,0.0
5,1.956989247311828,0.4295942720763723,0.04296081448393828,0,113.75,15.748088034951117,1800.0,1799.941875,0.0,0.0
6,1.956989247311828,0.4295942720763723,0.04296081448393828,0,113.75,15.833965255800003,1800.0,1799.941875,0.0,0.0
7,1.956989247311828,0.4295942720763723,0.04296081448393828,0,113.75,19.143965255800005,1800.0,1799.941875,0.0,0.0
8,2.0258064516129033,0.41379310344827586,0.04138064659487388,0,117.75,28.224316939567043,1800.0,1799.941875,0.0,0.0
9,2.0258064516129033,0.41379310344827586,0.04138064659487388,0,117.75,28.313965255800007,1800.0,1799.941875,0.0,0.0
10,2.0258064516129033,0.41379310344827586,0.04138064659487388,0,117.75,29.083965255800006,1800.0,1799.941875,0.0,0.0
11,2.0258064516129033,0.41379310344827586,0.04138064659487388,0,117.75,29.5995687202,1800.0,1799.941875,0.0,0.0
12,2.0258064516129033,0.41379310344827586,0.04138064659487388,0,117.75,26.825930878999998,1800.0,1799.941875,0.0,0.0
13,2.0258064516129033,0.41379310344827586,0.04138064659487388,0,117.75,25.264021779186212,1800.0,1799.941875,0.0,0.0
14,2.0258064516129033,0.41379310344827586,0.04138064659487388,0,117.75,23.161465255800003,1800.0,1799.941875,0.0,0.0
15,2.0258064516129033,0.41379310344827586,0.04138064659487388,0,117.75,21.043965255800007,1800.0,1799.941875,0.0,0.0
16,2.0258064516129033,0.41379310344827586,0.04138064659487388,0,117.75,20.613965255800004,1800.0,1799.941875,0.0,0.0
17,2.0258064516129033,0.41379310344827586,0.04138064659487388,0,117.75,26.57361126505057,1800.0,1799.941875,0.0,0.0
18,2.0258064516129033,0.41379310344827586,0.04138064659487388,0,117.75,25.687814362312643,1800.0,1799.941875,0.0,0.0
19,1.8881720430107527,0.4466501240694789,0.04466645476121622,0,109.75,23.163965255800004,1800.0,1799.941875,0.0,0.0
20,1.853763440860215,0.45569620253164556,0.04557109181967124,0,107.75,22.598965255800003,1800.0,1799.941875,0.0,0.0
21,1.853763440860215,0.45569620253164556,0.04557109181967124,0,107.75,22.2739652558,1800.0,1799.941875,0.0,0.0
22,1.8193548387096774,0.46511627906976744,0.04651312989346289,0,105.75,16.0239652558,1800.0,1799.941875,0.0,0.0
23,1.3720430107526882,0.49469964664310956,0.04947201863651328,0,79.75,9.9539652558,1400.0,1399.941875,0.0,0.0
24,1.3720430107526882,0.494699646643109,0.0494699646643109,0.0494699646643109,79.75,9.850000000000009,1399.9999999999984,1399.9999999999984,0.0,-0.058124999999999996
