Hour,Inertia,RoCoF,Inertia_energy,Net_Demand,pl,rb_per_hour,re_per_hour,rg_per_hour
1,2.473118279569893,0.3339517625231911,143.75,19.449999999999996,1800.0,1709.942335,89.99954000000001,0.0
2,2.473118279569893,0.3339517625231911,143.75,19.449999999999996,1800.0,1709.942335,89.99954000000001,0.0
3,2.473118279569893,0.3339517625231911,143.75,19.449999999999996,1800.0,1709.942335,89.99954000000001,0.0
4,2.473118279569893,0.3339517625231911,143.75,19.449999999999992,1800.0,0.0,1799.9418750000007,0.0
5,2.473118279569893,0.3339517625231911,143.75,19.45000000000001,1800.0,0.0,1799.941875,0.0
6,2.4387096774193555,0.3389830508474576,141.75,19.200000000000003,1800.0,1079.9455550000005,719.9963200000001,0.0
7,2.4387096774193555,0.3389830508474576,141.75,24.1439561758,1800.0,0.0,1799.9418750000007,0.0
8,2.4387096774193555,0.3389830508474576,141.75,33.2539561758,1800.0,0.0,1799.9418749999998,0.0
9,2.4387096774193555,0.3389830508474576,141.75,33.3139561758,1800.0,1079.945555,719.9963200000001,0.0
10,2.4387096774193555,0.3389830508474576,141.75,34.0839561758,1800.0,1688.0438241999818,111.89805080001828,0.0
11,2.473118279569893,0.3339517625231911,143.75,34.6139561758,1800.0,0.0,1799.9418750000002,0.0
12,2.473118279569893,0.3339517625231911,143.75,31.848956175799998,1800.0,1079.945555,719.9963200000001,0.0
13,2.473118279569893,0.3339517625231911,143.75,30.2939561758,1800.0,0.0,1799.9418750000007,0.0
14,2.473118279569893,0.3339517625231911,143.75,28.161456175799998,1800.0,600.0,1199.9418750000002,0.0
15,2.473118279569893,0.3339517625231911,143.75,26.0439561758,1800.0,0.0,1799.941875,0.0
16,2.473118279569893,0.3339517625231911,143.75,25.6139561758,1800.0,0.0,1799.9418749999995,0.0
17,2.473118279569893,0.3339517625231911,143.75,31.588956175799996,1800.0,1709.942335,89.99954000000001,0.0
18,2.4387096774193555,0.3389830508474576,141.75,30.723956175799998,1800.0,0.0,1799.9418750000002,0.0
19,2.266666666666667,0.3665987780040733,131.75,28.1639561758,1800.0,600.0,1199.9418750000002,0.0
20,2.2322580645161296,0.37267080745341613,129.75,27.598956175799998,1800.0,1200.0,599.9418750000004,0.0
21,2.1978494623655918,0.37894736842105264,127.75,27.273956175799995,1800.0,600.0,1199.9418750000004,0.0
22,1.78494623655914,0.47493403693931396,103.75,21.023956175799995,1800.0,0.0,1799.941875,0.0
23,1.78494623655914,0.47493403693931396,103.75,14.953956175799995,1800.0,269.94621499999965,1529.9956600000003,0.0
24,1.7505376344086023,0.48517520215633425,101.75,14.199999999999989,1800.0,89.94713499999939,1709.9947400000003,0.0
