Hour,Inertia,RoCoF,Deltaf_nadir_re,Deltaf_nadir_rg_2,Inertia_energy,Net_Demand,pl,rb_per_hour,re_per_hour,rg_per_hour
1,1.991397849,0.421545667,0.061441701,0.7943791,115.75,15.95000002,1800,1234.962875,0,732.5991539
2,1.991397849,0.421545667,0.061441596,0.794379103,115.75,15.95000002,1800,1234.964995,0,732.5937005
3,1.991397849,0.421545667,0.061441961,0.794379144,115.75,15.95000002,1800,1234.957656,0,732.6125281
4,1.991397849,0.421545667,0.061441889,0.794379113,115.75,15.95000001,1800,1234.959104,0,732.608837
5,1.991397849,0.421545667,0.061441755,0.794379098,115.75,15.95000001,1799.999999,1234.96179,0,732.6019428
6,1.991397849,0.421545667,0.061441835,0.794379114,115.75,15.95000001,1800,1234.96019,0,732.6060438
7,2.060215054,0.406320542,0.060322241,0.794582181,119.75,19.14396525,1800,1212.449949,0,761.7829698
8,2.060215054,0.406320542,0.055191828,0.794582392,119.75,28.23602056,1800,1325.154462,0,499.216192
9,2.060215054,0.406320542,0.055191888,0.794582391,119.75,28.29627252,1800,1325.15302,0,499.2192017
10,2.060215054,0.406320542,0.055193884,0.794582391,119.75,29.06605688,1800,1325.105108,0,499.319244
11,2.060215054,0.406320542,0.055192598,0.794582366,119.75,29.61853293,1800,1325.135977,0,499.2548047
12,2.060215054,0.406320542,0.055192398,0.794582378,119.75,26.88029102,1800,1325.140785,0,499.2447565
13,2.060215054,0.406320542,0.055191477,0.794582391,119.75,25.27915548,1800,1325.162902,0,499.1985715
14,2.060215054,0.406320542,0.060322204,0.794582219,119.75,23.16146525,1800,1212.45069,0,761.7810276
15,2.060215054,0.406320542,0.060322173,0.794582209,119.75,21.04396525,1800,1212.451299,0,761.7794727
16,2.060215054,0.406320542,0.060322169,0.794582207,119.75,20.61396525,1800,1212.451381,0,761.779263
17,2.060215054,0.406320542,0.055192217,0.794582386,119.75,26.56641187,1800,1325.145122,0,499.2356974
18,2.060215054,0.406320542,0.055192596,0.794582368,119.75,25.70209411,1800,1325.136022,0,499.2547081
19,2.060215054,0.406320542,0.060322205,0.794582218,119.75,23.18896525,1800,1212.450671,0,761.7810769
20,2.060215054,0.406320542,0.060322224,0.79458221,119.75,22.6504049,1800,1212.45028,0,761.7820905
21,2.060215054,0.406320542,0.060322168,0.794582139,119.75,22.27396525,1800,1212.451412,0,761.7792506
22,1.991397849,0.421545667,0.06144219,0.794379375,115.75,16.04896525,1800,1234.953061,0,732.6241183
23,1.372043011,0.494699647,0.067209393,0.791517107,79.75,10.0054049,1400,1030.480224,0,479.2291327
24,1.372043011,0.494699647,0.067180769,0.791519378,79.75,9.849999888,1400,1030.919283,0,478.0993648
