Hour,Inertia,RoCoF,Deltaf_nadir_re,Deltaf_nadir_rg_2,Inertia_energy,Net_Demand,pl,rb_per_hour,re_per_hour,rg_per_hour
1,2.4387096774193555,0.33898305084690045,0.05605133732898839,0.7954802254967323,141.75,19.19998823792099,1799.9999999970414,783.4525142011698,305.13791129052146,922.3929172513874
2,2.4387096774193555,0.3389830508480162,0.05605134285376318,0.7954802255033154,141.75,19.24395614331482,1800.0000000029663,775.6906962370923,312.89962196340934,922.3931930753038
3,2.36989247311828,0.3495145631066967,0.05662154978782085,0.7953398055523438,137.75,18.70000000013131,1799.9999999994882,799.5499750345186,311.5573965394025,893.1986983145075
4,2.36989247311828,0.3495145631096773,0.05662144789523783,0.7953398055900811,137.75,18.700000000314706,1800.0000000148382,800.7887575679009,310.3206135075752,893.1935581418005
5,2.36989247311828,0.3495145631148985,0.056621468300974004,0.7953398055502677,137.75,18.700000000353867,1800.000000041727,803.0881679528115,308.0208027246217,893.1945875696434
6,2.36989247311828,0.349514563107034,0.05662149792812324,0.7953398054413301,137.75,18.700000000219234,1800.0000000012249,800.9819957153238,310.1263935253105,893.1960823039224
7,2.36989247311828,0.3495145631119955,0.056621923654344604,0.7953398057667305,137.75,24.143956144899818,1800.0000000267771,789.3307467849565,321.7692883384139,893.2175582602794
8,2.36989247311828,0.34951456310438356,0.05433356189414879,0.7953397987472292,137.75,30.452434441688826,1799.9999999875752,900.9717994686363,256.9243362737523,776.9012242304516
9,2.36989247311828,0.34951456310360085,0.054333962210296245,0.7953398025422096,137.75,30.477744736324702,1799.9999999835443,901.4737958015347,256.41380890827077,776.9216979381097
10,2.36989247311828,0.3495145631102536,0.05433321242513037,0.7953397944036721,137.75,30.689293738697106,1800.000000017806,915.3405313086429,242.5630520136172,776.8833520288924
11,2.36989247311828,0.3495145630999788,0.05433403595520688,0.7953397889752828,137.75,31.132285292622615,1799.999999964891,915.1719403032549,242.7140928387413,776.9254838856368
12,2.36989247311828,0.34951456310725443,0.05433388001574066,0.79533980131895,137.75,30.145282628372087,1800.0000000023604,890.0689139809257,267.8204423684158,776.9174946297073
13,2.36989247311828,0.34951456310404305,0.05433296133689554,0.7953397922513263,137.75,29.758270038935112,1799.999999985822,841.0111885782628,316.8977457081985,776.8705101660655
14,2.36989247311828,0.3495145631102657,0.05662155688193161,0.7953398058033602,137.75,28.161456144766987,1800.0000000178684,794.2011595243883,316.9060728616624,893.1990558867096
15,2.36989247311828,0.349514563110224,0.05662171289991799,0.795339805639894,137.75,26.043956145341998,1800.0000000176535,791.7040626242722,319.40010816722065,893.2069266227145
16,2.36989247311828,0.3495145631101657,0.056621760370649324,0.795339805690143,137.75,25.613956145223412,1800.0000000173534,792.3756656727264,318.7275735873511,893.209321290976
17,2.36989247311828,0.34951456310327267,0.054333691587176124,0.7953398049612541,137.75,30.539576822745428,1799.9999999818544,856.0506450801914,301.84272678861,776.9078522270247
18,2.36989247311828,0.3495145631127011,0.05433280236015947,0.795339789740043,137.75,30.132139327487096,1800.000000030411,839.3520881381339,318.5602342249947,776.8623804330915
19,2.36989247311828,0.34951456311205187,0.05662152774768713,0.795339805754491,137.75,28.16395614378948,1800.000000027067,786.9678646733963,324.1399394371211,893.197586218733
20,2.36989247311828,0.3495145631120732,0.05662152586993843,0.7953398056868212,137.75,27.59895614378253,1800.0000000271768,786.7082393835537,324.3996015749448,893.1974915710267
21,2.36989247311828,0.34951456311188117,0.05662156622077914,0.7953398056269354,137.75,27.273956143718593,1800.000000026188,786.9427886090992,324.1642605273493,893.1995271971223
22,2.36989247311828,0.34951456311112467,0.05662173315378218,0.7953398056296848,137.75,21.023956147767578,1800.000000022292,784.9063754484226,326.1973979015314,893.2079483658465
23,1.853763440860215,0.4556962025379708,0.06408287433173977,0.7939240503252223,107.75,14.95395615896198,1800.0000000249845,913.544966135961,366.443132296552,674.2327233578641
24,1.7161290322580647,0.49586776859483706,0.0673619590311651,0.793388429509244,99.75,14.113956150289383,1799.9999999992583,943.2784714135342,381.7453199185941,615.8396566718532
