Hour,Inertia,RoCoF,Deltaf_nadir_re,Deltaf_nadir_rg_2,Inertia_energy,Net_Demand,pl,rb_per_hour,re_per_hour,rg_per_hour
1,1.956989247311828,0.4295942720763723,0.04296081448393828,0,113.75,15.70000000000001,1800.0,1799.941875,0.0,0.0
2,1.956989247311828,0.4295942720763723,0.04296081448393828,0,113.75,15.70000000000001,1800.0,1799.941875,0.0,0.0
3,1.956989247311828,0.4295942720763723,0.04296081448393828,0,113.75,15.70000000000001,1800.0,1799.941875,0.0,0.0
4,1.956989247311828,0.4295942720763723,0.04296081448393828,0,113.75,15.700000000000006,1800.0,1799.941875,0.0,0.0
5,1.956989247311828,0.4295942720763723,0.04296081448393828,0,113.75,15.700000000000003,1800.0,1799.941875,0.0,0.0
6,1.956989247311828,0.4295942720763723,0.04296081448393828,0,113.75,15.700000000000003,1800.0,1799.941875,0.0,0.0
7,1.956989247311828,0.4295942720763723,0.04296081448393828,0,113.75,19.0,1800.0,1799.941875,0.0,0.0
8,2.0258064516129033,0.41379310344827586,0.04138064659487388,0,117.75,28.110000000000003,1800.0,1799.941875,0.0,0.0
9,2.0258064516129033,0.41379310344827586,0.04138064659487388,0,117.75,28.17,1800.0,1799.941875,0.0,0.0
10,2.0258064516129033,0.41379310344827586,0.04138064659487388,0,117.75,28.94,1800.0,1799.941875,0.0,0.0
11,2.0258064516129033,0.41379310344827586,0.04138064659487388,0,117.75,29.470000000000002,1800.0,1799.941875,0.0,0.0
12,2.0258064516129033,0.41379310344827586,0.04138064659487388,0,117.75,26.705,1800.0,1799.941875,0.0,0.0
13,2.0258064516129033,0.41379310344827586,0.04138064659487388,0,117.75,25.150000000000002,1800.0,1799.941875,0.0,0.0
14,2.0258064516129033,0.41379310344827586,0.04138064659487388,0,117.75,23.0175,1800.0,1799.941875,0.0,0.0
15,2.0258064516129033,0.41379310344827586,0.04138064659487388,0,117.75,20.900000000000002,1800.0,1799.941875,0.0,0.0
16,2.0258064516129033,0.41379310344827586,0.04138064659487388,0,117.75,20.47,1800.0,1799.941875,0.0,0.0
17,2.0258064516129033,0.41379310344827586,0.04138064659487388,0,117.75,26.444999999999997,1800.0,1799.941875,0.0,0.0
18,2.0258064516129033,0.41379310344827586,0.04138064659487388,0,117.75,25.58,1800.0,1799.941875,0.0,0.0
19,1.8881720430107527,0.4466501240694789,0.04466501240694788,0.04466501240694789,109.75,23.02,1800.0,1800.0,0.0,-0.058124999999999996
20,1.8881720430107527,0.4466501240694789,0.04466501240694788,0.04466501240694789,109.75,22.455,1800.0,1800.0,0.0,-0.058124999999999996
21,1.853763440860215,0.45569620253164556,0.04557109181967124,0,107.75,22.129999999999995,1800.0,1799.941875,0.0,0.0
22,1.853763440860215,0.45569620253164556,0.04557109181967124,0,107.75,15.879999999999995,1800.0,1799.941875,0.0,0.0
23,1.3720430107526882,0.49469964664310956,0.04947201863651328,0,79.75,9.849999999999994,1400.0,1399.941875,0.0,0.0
24,1.3720430107526882,0.494699646643109,0.0494699646643109,0.0494699646643109,79.75,9.85710073655595,1399.9999999999984,1399.9999999999984,0.0,-0.05812500000000013
