Hour,Inertia,RoCoF,Inertia_energy,Net_Demand,pl,rb_per_hour,re_per_hour,rg_per_hour
1,2.0258064516129033,0.41379310344851444,117.75,16.20000000022427,1800.0000000010377,1223.6886502191696,0.0,747.2364783354426
2,2.0258064516129033,0.4137931034485151,117.75,16.20000000024163,1800.0000000010407,1223.6891345453305,0.0,747.2352332414689
3,2.0258064516129033,0.41379310344851633,117.75,16.200000000193953,1800.000000001046,1223.6869801787898,0.0,747.240771615752
4,2.0258064516129033,0.41379310344851594,117.75,16.20000000018528,1800.000000001044,1223.6862144028962,0.0,747.2427402735259
5,2.0258064516129033,0.4137931034485154,117.75,16.200000000154922,1800.000000001042,1223.6943443686375,0.0,747.2218404081055
6,2.0258064516129033,0.41379310344851566,117.75,16.200000000215624,1800.000000001043,1223.688534856015,0.0,747.2367749036061
7,2.060215053763441,0.4063205417612255,119.75,19.0,1800.0000000022292,1212.4303182845867,0.0,761.8332250467613
8,2.060215053763441,0.4063205417612253,119.75,28.110000000000003,1800.0000000022278,1212.4704002186386,0.0,761.73019040389
9,2.060215053763441,0.40632054176122534,119.75,28.17,1800.0000000022283,1212.470436526491,0.0,761.7300970555228
10,2.060215053763441,0.4063205417612243,119.75,28.94,1800.0000000022235,1212.4719879728482,0.0,761.7261089254847
11,2.060215053763441,0.40632054176122484,119.75,29.470000000000002,1800.0000000022262,1212.4717174202865,0.0,761.7268032963892
12,2.060215053763441,0.40632054176122545,119.75,26.705,1800.0000000022287,1212.468318523849,0.0,761.7355416922069
13,2.060215053763441,0.40632054176122473,119.75,25.150000000000002,1800.0000000022255,1212.4580654382808,0.0,761.7618958057608
14,2.060215053763441,0.4063205417612253,119.75,23.0175,1800.000000002228,1212.4290747401244,0.0,761.8364217900477
15,2.060215053763441,0.40632054176122306,119.75,20.900000000000002,1800.0000000022183,1212.4316236876455,0.0,761.8298690588736
16,2.060215053763441,0.40632054176122445,119.75,20.47,1800.0000000022244,1212.4277896130386,0.0,761.8397255754942
17,2.060215053763441,0.40632054176122534,119.75,26.444999999999997,1800.0000000022283,1212.4383368348629,0.0,761.8126119878325
18,2.060215053763441,0.4063205417612241,119.75,25.58,1800.0000000022228,1212.4536455168106,0.0,761.7732581087862
19,2.060215053763441,0.4063205417612253,119.75,23.02,1800.0000000022278,1212.429402007197,0.0,761.8355804561439
20,2.060215053763441,0.40632054176122545,119.75,22.455,1800.0000000022287,1212.4307418707829,0.0,761.8321359662691
21,2.060215053763441,0.4063205417612259,119.75,22.129999999999995,1800.0000000022308,1212.428745481692,0.0,761.8372682634695
22,1.9913978494623656,0.417447306787263,115.75,15.879999999999995,1782.499999981613,1217.1379858071261,0.0,733.0418213517146
23,1.3720430107526882,0.4946996466431092,79.75,9.83194201436826,1399.999999999999,1030.602743114597,0.0,478.91267237229675
24,1.3720430107526882,0.494699646643109,79.75,9.85000000001805,1399.9999999999984,979.5259785440937,51.06179075297074,478.9511593296879
