Hour,Inertia,RoCoF,Deltaf_nadir_re,Deltaf_nadir_rg_2,Inertia_energy,Net_Demand,pl,rb_per_hour,re_per_hour,rg_per_hour
1,1.956989247,0.429594326,0.06205018,0.794267247,113.75,15.70000356,1800.000226,1246.200875,0,718.0595193
2,1.956989247,0.429594312,0.062050193,0.79426661,113.75,15.69997103,1800.000169,1246.20054,0,718.0608308
3,1.956989247,0.429594329,0.062050189,0.794265956,113.75,15.7000038,1800.000239,1246.200707,0,718.0611973
4,1.956989247,0.429594353,0.062050206,0.794266244,113.75,15.70000367,1800.000339,1246.20051,0,718.0616948
5,1.956989247,0.429594371,0.0620502,0.794265854,113.75,15.70000307,1800.000413,1246.200739,0,718.0616632
6,1.956989247,0.429594353,0.062050209,0.794266732,113.75,15.70000452,1800.00034,1246.20045,0,718.0613899
7,2.060215054,0.406320609,0.060322998,0.79457208,119.75,19,1800.000296,1212.435118,0,761.8318945
8,2.060215054,0.406320671,0.056579681,0.794581364,119.75,28.11,1800.000571,1292.650351,0,569.3557481
9,2.060215054,0.406320625,0.056552937,0.794582234,119.75,28.17,1800.000368,1293.26135,0,567.9943617
10,2.060215054,0.406320622,0.056576031,0.794578074,119.75,28.94,1800.000357,1292.733421,0,569.1700123
11,2.060215054,0.406320644,0.056580685,0.794581855,119.75,29.47,1800.000454,1292.627243,0,569.4065971
12,2.060215054,0.406320612,0.056608069,0.794580027,119.75,26.705,1800.000309,1292.001733,0,570.8019431
13,2.060215054,0.406320626,0.056493603,0.794581191,119.75,25.15,1800.000373,1294.619649,0,564.9768739
14,2.060215054,0.406320624,0.0603227,0.79457391,119.75,23.01749454,1800.000363,1212.441195,0,761.8146279
15,2.060215054,0.406320632,0.060322728,0.794572661,119.75,20.89999014,1800.000401,1212.440696,0,761.8172499
16,2.060215054,0.406320606,0.060323033,0.79457268,119.75,20.4699949,1800.000285,1212.434403,0,761.8331079
17,2.060215054,0.406320612,0.056595313,0.794580534,119.75,26.445,1800.000311,1292.292923,0,570.1522756
18,2.060215054,0.40632062,0.056616629,0.794571105,119.75,25.58,1800.000345,1291.806433,0,571.2398677
19,2.060215054,0.406320625,0.060322729,0.794574491,119.75,23.02,1800.000367,1212.440632,0,761.8155087
20,2.060215054,0.406320638,0.060322458,0.794572768,119.75,22.45497257,1800.000424,1212.44615,0,761.8031831
21,2.060215054,0.406320623,0.060322614,0.794572826,119.75,22.12999737,1800.000358,1212.442924,0,761.8112484
22,1.956989247,0.429594301,0.062049439,0.794262114,113.75,15.88,1800.000121,1246.215601,0,718.0262107
23,1.372043011,0.494699647,0.067203884,0.791516051,79.75,9.841053018,1400,1030.564701,0,479.0126043
24,1.372043011,0.494699647,0.067203659,0.791517972,79.75,9.84999754,1400,1030.568147,0,479.0025289
