Hour,Inertia,RoCoF,Inertia_energy,Net_Demand,pl,rb_per_hour,re_per_hour,rg_per_hour
1,2.47311828,0.333951763,143.75,19.45,1800,756.3467083,320.9803603,937.002582
2,2.47311828,0.333951763,143.75,19.45,1800,756.8220217,320.5083574,936.9940718
3,2.47311828,0.333951763,143.75,19.45,1800,757.9977491,319.3318481,936.9960822
4,2.47311828,0.333951763,143.75,19.45,1800,761.0402863,316.2911095,936.9914582
5,2.47311828,0.333951763,143.75,19.45,1800,772.2605469,305.0712321,936.9904721
6,2.47311828,0.333951763,143.75,19.45,1800,764.8225059,312.5091854,936.990698
7,2.507526882,0.329067642,145.75,24.28792136,1800,755.5329556,310.5395168,951.5897257
8,2.507526882,0.329067642,145.75,33.33100121,1800,854.4838335,330.573318,669.9337328
9,2.507526882,0.329067642,145.75,33.39054401,1800,854.3868937,330.6647182,669.9457177
10,2.507526882,0.329067642,145.75,34.16043554,1800,855.6109031,329.4174367,669.996039
11,2.507526882,0.329067642,145.75,34.6917436,1800,855.9700618,329.0694932,669.971778
12,2.507526882,0.329067642,145.75,31.94599171,1800,853.8094924,331.2240096,669.9848595
13,2.507526882,0.329067642,145.75,30.43792137,1800,768.0399379,298.0322074,951.5905663
14,2.507526882,0.329067642,145.75,28.30542137,1800.000001,766.5882158,299.4810147,951.5980603
15,2.507526882,0.329067642,145.75,26.18792137,1800.000001,764.2458872,301.8261116,951.5909438
16,2.507526882,0.329067642,145.75,25.75792137,1800.000001,762.94188,303.1303447,951.5903632
17,2.507526882,0.329067642,145.75,31.70229668,1800,855.2548853,329.7622224,670.0202796
18,2.507526882,0.329067642,145.75,30.86792137,1800,770.2136007,295.8542583,951.6015851
19,2.507526882,0.329067642,145.75,28.30792137,1800.000001,768.1485892,297.9207806,951.5977023
20,2.507526882,0.329067642,145.75,27.74292137,1800.000001,767.0421774,299.0286387,951.5939838
21,2.507526882,0.329067642,145.75,27.41792137,1800.000001,766.1543848,299.9169317,951.5926974
22,2.507526882,0.329067642,145.75,21.16792137,1800.000001,758.4926888,307.5758826,951.5997549
23,1.853763441,0.455696203,107.75,15.09792136,1800,888.7619504,391.226972,674.2306054
24,1.750537634,0.485175202,101.75,14.25792136,1800,905.2168739,408.5471881,630.4399964
