RB,,,,,,,,,,,,,,,,,,,,,,,,
Hour,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
"Scenario SB,  Case DH",751.2102395,749.8295655,752.5712711,754.2553011,762.0843296,754.6730418,750.952576,885.7215619,886.4463336,892.7161615,897.9319375,880.5776622,755.4039859,752.5971112,751.45765,750.9497322,882.8316396,758.2130166,754.1254596,754.0460766,752.0798542,744.8192302,882.7941936,899.3431996
"Scenario SB,  Case DL",1263.345419,1263.345419,1263.345419,1263.345419,1263.345419,1263.345419,1252.524275,1334.922003,1334.922003,1324.385165,1308.623176,1334.920939,1334.920939,1227.579252,1227.579252,1227.579252,1309.938542,1334.938542,1200.164743,1224.537283,1222.501492,1266.373771,1058.408725,1088.402903
"Scenario SB,  Case EH",1709.942335,1709.942335,1709.942335,0,0,1079.945555,0,0,1079.945555,1688.043824,0,1079.945555,0,600,0,0,1709.942335,0,600,1200,600,0,269.946215,89.947135
"Scenario SB,  Case EL",1799.941875,1799.941875,1799.941875,1799.941875,1799.941875,1799.941875,1799.941875,1799.941875,1799.941875,1799.941875,1799.941875,1799.941875,1799.941875,1799.941875,1799.941875,1799.941875,1799.941875,1799.941875,1799.941875,1799.941875,1799.941875,1799.941875,1399.941875,1400
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
"Scenario PD, Case D",783.4525142,775.6906962,799.549975,800.7887576,803.088168,800.9819957,789.3307468,900.9717995,901.4737958,915.3405313,915.1719403,890.068914,841.0111886,794.2011595,791.7040626,792.3756657,856.0506451,839.3520881,786.9678647,786.7082394,786.9427886,784.9063754,913.5449661,943.2784714
"Scenario PD, Case E",1709.942335,0,0,0,0,0,0,1799.941875,1079.945555,0,0,0,0,0,0,0,479.843055,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
"Scenario SHP,  Case DH",756.3467083,756.8220217,757.9977491,761.0402863,772.2605469,764.8225059,755.5329556,854.4838335,854.3868937,855.6109031,855.9700618,853.8094924,768.0399379,766.5882158,764.2458872,762.94188,855.2548853,770.2136007,768.1485892,767.0421774,766.1543848,758.4926888,888.7619504,905.2168739
"Scenario SHP,  Case DL",1223.68865,1223.689135,1223.68698,1223.686214,1223.694344,1223.688535,1212.430318,1212.4704,1212.470437,1212.471988,1212.471717,1212.468319,1212.458065,1212.429075,1212.431624,1212.42779,1212.438337,1212.453646,1212.429402,1212.430742,1212.428745,1217.137986,1030.602743,979.5259785
"Scenario SHP,  Case EH",1709.942335,0,1709.942335,0,1709.942335,0,0,0,1709.942335,1709.942335,0,1709.942335,0,0,629.944375,0,1709.942335,0,0,0,0,0,629.944375,0
"Scenario SHP,  Case EL",1799.941875,1799.941875,1799.941875,1799.941875,1799.941875,1799.941875,1799.941875,1799.941875,1799.941875,1799.941875,1799.941875,1799.941875,1799.941875,1799.941875,1799.941875,1799.941875,1799.941875,1799.941875,1800,1800,1799.941875,1799.941875,1399.941875,1400
