RG,,,,,,,,,,,,,,,,,,,,,,,,
Hour,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
"Scenario SB,  Case DH",936.9937988,936.9934695,936.993792,936.9908749,936.9899607,936.9914811,936.9906936,555.0180854,555.018084,555.0180756,555.0180842,555.0180587,936.9878493,936.9910626,936.9922777,936.9917309,555.0180793,936.9236946,936.9909733,936.9915876,936.9916332,936.9901278,674.2293859,630.4454672
"Scenario SB,  Case DL",653.7612192,653.7612192,653.7612192,653.7612192,653.7612192,653.7612192,655.1560319,477.9370905,477.9370905,500.5860108,534.2606914,477.9381847,477.9381847,721.6500082,721.6500082,721.6500082,477.9200918,477.9200918,727.650503,729.2137969,734.2970929,646.3581766,407.041489,330.0876731
"Scenario SB,  Case EH",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Scenario SB,  Case EL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
"Scenario PD, Case D",922.3929173,922.3931931,893.1986983,893.1935581,893.1945876,893.1960823,893.2175583,776.9012242,776.9216979,776.883352,776.9254839,776.9174946,776.8705102,893.1990559,893.2069266,893.2093213,776.9078522,776.8623804,893.1975862,893.1974916,893.1995272,893.2079484,674.2327234,615.8396567
"Scenario PD, Case E",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
"Scenario SHP,  Case DH",937.002582,936.9940718,936.9960822,936.9914582,936.9904721,936.990698,951.5897257,669.9337328,669.9457177,669.996039,669.971778,669.9848595,951.5905663,951.5980603,951.5909438,951.5903632,670.0202796,951.6015851,951.5977023,951.5939838,951.5926974,951.5997549,674.2306054,630.4399964
"Scenario SHP,  Case DL",747.2364783,747.2352332,747.2407716,747.2427403,747.2218404,747.2367749,761.833225,761.7301904,761.7300971,761.7261089,761.7268033,761.7355417,761.7618958,761.8364218,761.8298691,761.8397256,761.812612,761.7732581,761.8355805,761.832136,761.8372683,733.0418214,478.9126724,478.9511593
"Scenario SHP,  Case EH",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Scenario SHP,  Case EL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
