Deltaf,,,,,,,,,,,,,,,,,,,,,,,,
Hour,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
"Scenario SB,  Case DH",0.79554731,0.79554731,0.795547309,0.795547309,0.795547309,0.795547309,0.795547309,0.780098287,0.780098285,0.780098274,0.780098285,0.78009825,0.795547309,0.795547309,0.795547309,0.795547309,0.78009828,0.795546505,0.795547309,0.795547309,0.795547309,0.795547309,0.79392405,0.793530997
"Scenario SB,  Case DL",0.7943791,0.794379103,0.794379144,0.794379113,0.794379098,0.794379114,0.794582181,0.794582392,0.794582391,0.794582391,0.794582366,0.794582378,0.794582391,0.794582219,0.794582209,0.794582207,0.794582386,0.794582368,0.794582218,0.79458221,0.794582139,0.794379375,0.791517107,0.791519378
"Scenario SB,  Case EH",0.033396255,0.033396255,0.033396255,0.033396255,0.033396255,0.0338994,0.0338994,0.0338994,0.0338994,0.0338994,0.033396255,0.033396255,0.033396255,0.033396255,0.033396255,0.033396255,0.033396255,0.0338994,0.036661062,0.037268284,0.037895961,0.047494937,0.047494937,0.048519087
"Scenario SB,  Case EL",0.042960814,0.042960814,0.042960814,0.042960814,0.042960814,0.042960814,0.042960814,0.041380647,0.041380647,0.041380647,0.041380647,0.041380647,0.041380647,0.041380647,0.041380647,0.041380647,0.041380647,0.041380647,0.044666455,0.045571092,0.045571092,0.04651313,0.049472019,0.049469965
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
"Scenario PD, Case D",0.795480225,0.795480226,0.795339806,0.795339806,0.795339806,0.795339805,0.795339806,0.795339799,0.795339803,0.795339794,0.795339789,0.795339801,0.795339792,0.795339806,0.795339806,0.795339806,0.795339805,0.79533979,0.795339806,0.795339806,0.795339806,0.795339806,0.79392405,0.79338843
"Scenario PD, Case E",0.035504105,0.035504105,0.035504105,0.035504105,0.035504105,0.035504105,0.035504105,0.035504105,0.035504105,0.035504105,0.035504105,0.035504105,0.035504105,0.035504105,0.035504105,0.035504105,0.035504105,0.035504105,0.037268284,0.037895961,0.038545142,0.048519087,0.049588378,0.049588378
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
"Scenario SHP,  Case DH",0.795547309,0.795547309,0.795547309,0.795547309,0.79554731,0.795547309,0.795612431,0.795612343,0.795612339,0.79561236,0.795612362,0.795612376,0.795612431,0.795612431,0.795612431,0.795612431,0.795612425,0.795612431,0.795612431,0.795612431,0.795612431,0.795612431,0.79392405,0.793530996
"Scenario SHP,  Case DL",0.794267247,0.79426661,0.794265956,0.794266244,0.794265854,0.794266732,0.79457208,0.794581364,0.794582234,0.794578074,0.794581855,0.794580027,0.794581191,0.79457391,0.794572661,0.79457268,0.794580534,0.794571105,0.794574491,0.794572768,0.794572826,0.794262114,0.791516051,0.791517972
"Scenario SHP,  Case EH",0.033396255,0.033396255,0.033396255,0.033396255,0.033396255,0.033396255,0.033396255,0.033396255,0.033396255,0.033396255,0.033396255,0.033396255,0.033396255,0.033396255,0.033396255,0.033396255,0.033396255,0.0338994,0.036661062,0.037895961,0.037895961,0.047494937,0.048519087,0.049588378
"Scenario SHP,  Case EL",0.042960814,0.042960814,0.042960814,0.042960814,0.042960814,0.042960814,0.042960814,0.041380647,0.041380647,0.041380647,0.041380647,0.041380647,0.041380647,0.041380647,0.041380647,0.041380647,0.041380647,0.041380647,0.044665012,0.044665012,0.045571092,0.045571092,0.049472019,0.049469965
