rocof,,,,,,,,,,,,,,,,,,,,,,,,
Hour,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
"Scenario SB,  Case DH",0.333951763,0.333951763,0.333951763,0.333951763,0.333951763,0.333951763,0.333951763,0.333951763,0.333951763,0.333951763,0.333951763,0.333951763,0.333951763,0.333951763,0.333951763,0.333951763,0.333951763,0.333951763,0.333951763,0.333951763,0.333951763,0.333951763,0.455696203,0.485175202
"Scenario SB,  Case DL",0.421545667,0.421545667,0.421545667,0.421545667,0.421545667,0.421545667,0.406320542,0.406320542,0.406320542,0.406320542,0.406320542,0.406320542,0.406320542,0.406320542,0.406320542,0.406320542,0.406320542,0.406320542,0.406320542,0.406320542,0.406320542,0.421545667,0.494699647,0.494699647
"Scenario SB,  Case EH",0.333951763,0.333951763,0.333951763,0.333951763,0.333951763,0.338983051,0.338983051,0.338983051,0.338983051,0.338983051,0.333951763,0.333951763,0.333951763,0.333951763,0.333951763,0.333951763,0.333951763,0.338983051,0.366598778,0.372670807,0.378947368,0.474934037,0.474934037,0.485175202
"Scenario SB,  Case EL",0.429594272,0.429594272,0.429594272,0.429594272,0.429594272,0.429594272,0.429594272,0.413793103,0.413793103,0.413793103,0.413793103,0.413793103,0.413793103,0.413793103,0.413793103,0.413793103,0.413793103,0.413793103,0.446650124,0.455696203,0.455696203,0.465116279,0.494699647,0.494699647
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
"Scenario PD, Case D",0.338983051,0.338983051,0.349514563,0.349514563,0.349514563,0.349514563,0.349514563,0.349514563,0.349514563,0.349514563,0.349514563,0.349514563,0.349514563,0.349514563,0.349514563,0.349514563,0.349514563,0.349514563,0.349514563,0.349514563,0.349514563,0.349514563,0.455696203,0.495867769
"Scenario PD, Case E",0.355029586,0.355029586,0.355029586,0.355029586,0.355029586,0.355029586,0.355029586,0.355029586,0.355029586,0.355029586,0.355029586,0.355029586,0.355029586,0.355029586,0.355029586,0.355029586,0.355029586,0.355029586,0.372670807,0.378947368,0.385438972,0.485175202,0.495867769,0.495867769
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
"Scenario SHP,  Case DH",0.333951763,0.333951763,0.333951763,0.333951763,0.333951763,0.333951763,0.329067642,0.329067642,0.329067642,0.329067642,0.329067642,0.329067642,0.329067642,0.329067642,0.329067642,0.329067642,0.329067642,0.329067642,0.329067642,0.329067642,0.329067642,0.329067642,0.455696203,0.485175202
"Scenario SHP,  Case DL",0.413793103,0.413793103,0.413793103,0.413793103,0.413793103,0.413793103,0.406320542,0.406320542,0.406320542,0.406320542,0.406320542,0.406320542,0.406320542,0.406320542,0.406320542,0.406320542,0.406320542,0.406320542,0.406320542,0.406320542,0.406320542,0.417447307,0.494699647,0.494699647
"Scenario SHP,  Case EH",0.333951763,0.333951763,0.333951763,0.333951763,0.333951763,0.333951763,0.333951763,0.333951763,0.333951763,0.333951763,0.333951763,0.333951763,0.333951763,0.333951763,0.333951763,0.333951763,0.333951763,0.338983051,0.366598778,0.378947368,0.378947368,0.474934037,0.485175202,0.495867769
"Scenario SHP,  Case EL",0.429594272,0.429594272,0.429594272,0.429594272,0.429594272,0.429594272,0.429594272,0.413793103,0.413793103,0.413793103,0.413793103,0.413793103,0.413793103,0.413793103,0.413793103,0.413793103,0.413793103,0.413793103,0.446650124,0.446650124,0.455696203,0.455696203,0.494699647,0.494699647
