Total_reserve,,,,,,,,,,,,,,,,,,,,,,,,
Hour,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
"Scenario SB,  Case DH",2014,2014,2014,2014,2014,2014,2014,1800,1800,1800,1800,1800,2014,2014,2014,2014,1800,2014,2014,2014,2014,2014,1954,1944
"Scenario SB,  Case DL",1968,1968,1968,1968,1968,1968,1974,1824,1824,1824,1824,1824,1824,1974,1974,1974,1824,1824,1974,1974,1974,1968,1510,1509
"Scenario SB,  Case EH",1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800
"Scenario SB,  Case EL",1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1400,1400
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
"Scenario PD, Case D",2011,2011,2004,2004,2004,2004,2004,1935,1935,1935,1935,1935,1935,2004,2004,2004,1935,1935,2004,2004,2004,2004,1954,1941
"Scenario PD, Case E",1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
"Scenario SHP,  Case DH",2014,2014,2014,2014,2014,2014,2018,1855,1855,1855,1855,1855,2018,2018,2018,2018,1855,2018,2018,2018,2018,2018,1954,1944
"Scenario SHP,  Case DL",1964,1964,1964,1964,1964,1964,1974,1862,1861,1862,1862,1863,1860,1974,1974,1974,1862,1863,1974,1974,1974,1964,1510,1510
"Scenario SHP,  Case EH",1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800
"Scenario SHP,  Case EL",1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1400,1400
