Inertia,,,,,,,,,,,,,,,,,,,,,,,,
Hour,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
"Scenario SB,  Case DH",2.47311828,2.47311828,2.47311828,2.47311828,2.47311828,2.47311828,2.507526882,2.507526882,2.507526882,2.507526882,2.507526882,2.507526882,2.507526882,2.507526882,2.507526882,2.507526882,2.507526882,2.507526882,2.507526882,2.507526882,2.507526882,2.507526882,1.853763441,1.716129032
"Scenario SB,  Case DL",1.956989247,1.956989247,1.956989247,1.956989247,1.956989247,1.956989247,2.060215054,2.060215054,2.060215054,2.060215054,2.060215054,2.060215054,2.060215054,2.060215054,2.060215054,2.060215054,2.060215054,2.060215054,2.060215054,2.060215054,2.060215054,1.991397849,1.165591398,1.096774194
"Scenario SB,  Case EH",2.47311828,2.47311828,2.47311828,2.47311828,2.47311828,2.438709677,2.438709677,2.438709677,2.438709677,2.438709677,2.47311828,2.47311828,2.47311828,2.47311828,2.47311828,2.47311828,2.47311828,2.438709677,2.266666667,2.232258065,2.197849462,1.784946237,1.372043011,1.303225806
"Scenario SB,  Case EL",1.956989247,1.956989247,1.956989247,1.956989247,1.956989247,1.956989247,1.956989247,2.025806452,2.025806452,2.025806452,2.025806452,2.025806452,2.025806452,2.025806452,2.025806452,2.025806452,2.025806452,2.025806452,1.888172043,1.853763441,1.853763441,1.406451613,1.165591398,1.096774194
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
"Scenario PD, Case D",2.438709677,2.438709677,2.369892473,2.369892473,2.369892473,2.369892473,2.369892473,2.369892473,2.369892473,2.369892473,2.369892473,2.369892473,2.369892473,2.369892473,2.369892473,2.369892473,2.369892473,2.369892473,2.369892473,2.369892473,2.369892473,2.369892473,1.853763441,1.750537634
"Scenario PD, Case E",2.438709677,2.438709677,2.335483871,2.335483871,2.335483871,2.335483871,2.335483871,2.335483871,2.335483871,2.335483871,2.335483871,2.335483871,2.335483871,2.335483871,2.335483871,2.335483871,2.335483871,2.335483871,2.232258065,2.232258065,2.232258065,2.232258065,1.337634409,1.337634409
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
"Scenario SHP,  Case DH",2.47311828,2.47311828,2.47311828,2.47311828,2.47311828,2.47311828,2.507526882,2.507526882,2.507526882,2.507526882,2.507526882,2.507526882,2.507526882,2.507526882,2.507526882,2.507526882,2.507526882,2.507526882,2.507526882,2.507526882,2.507526882,2.507526882,1.853763441,1.750537634
"Scenario SHP,  Case DL",1.956989247,1.956989247,1.956989247,1.956989247,1.956989247,1.956989247,2.060215054,2.060215054,2.060215054,2.060215054,2.060215054,2.060215054,2.060215054,2.060215054,2.060215054,2.060215054,2.060215054,2.060215054,2.060215054,2.060215054,2.060215054,1.991397849,1.131182796,1.096774194
"Scenario SHP,  Case EH",2.47311828,2.47311828,2.47311828,2.47311828,2.47311828,2.47311828,2.47311828,2.47311828,2.47311828,2.47311828,2.47311828,2.47311828,2.47311828,2.47311828,2.47311828,2.47311828,2.47311828,2.47311828,2.301075269,2.266666667,2.232258065,1.819354839,1.372043011,1.303225806
"Scenario SHP,  Case EL",1.956989247,1.956989247,1.956989247,1.956989247,1.956989247,1.956989247,1.956989247,2.025806452,2.025806452,2.025806452,2.025806452,2.025806452,2.025806452,2.025806452,2.025806452,2.025806452,2.025806452,2.025806452,1.991397849,1.991397849,1.888172043,1.888172043,1.131182796,1.096774194
