RB,,,,,,,,,,,,,,,,,,,,,,,,
Hour,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
"Scenario SB,  Case DH",765.2,762.3,760.6,755.2,768.7,764.7,696.4,796.9,795.6,790.1,785.5,773.3,744.9,735.9,715.3,713.2,774.5,754.1,743,739.2,736.8,697.3,909.8,955.2
"Scenario SB,  Case DL",1246.2,1246.2,1246.2,1246.2,1246.2,1246.2,1212.4,1348.7,1348.7,1348.7,1348.7,1348.7,1348.7,1212.4,1212.4,1212.4,1348.7,1348.7,1212.4,1212.4,1212.4,1235,1505.2,1454.4
"Scenario SB,  Case EH",1799.9,0,0,0,0,0,0,1709.9,0,0,0,0,0,1079.9,1079.9,0,0,1709.9,1079.9,0,0,0,0,0
"Scenario SB,  Case EL",1799.9,1800,1799.9,1799.9,1799.9,1799.9,1799.9,1799.9,1799.9,1799.9,1799.9,1799.9,1799.9,1799.9,1799.9,1799.9,1799.9,1799.9,1799.9,1799.9,1799.9,1799.9,1799.9,1718.2
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
"Scenario PD, Case D",751,751,775.3,776.8,780.7,776.1,768.8,877.2,877.9,888.3,896.6,860.4,817.8,776.5,773.2,764.5,847.4,829.8,776.1,771,761.2,766.9,903,911.8
"Scenario PD, Case E",1709.9,0,0,0,0,0,0,95.9,0,1679.9,749.9,0,0,0,0,0,0,0,0,600,600,1200,0,0
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
"Scenario SHP,  Case DH",699.6,691.5,712.4,734.6,822.6,713.3,695.3,821.3,822.9,831.5,855.4,842.5,750.8,725.9,694.8,688.1,838.9,757.4,732.9,726.9,723.3,702.6,915.3,948.1
"Scenario SHP,  Case DL",1246.2,1246.2,1246.2,1246.2,1246.2,1246.2,1212.4,1292.8,1292.8,1292.7,1292.1,1292.5,1293.3,1212.4,1212.4,1212.4,1292.9,1292.9,1212.4,1212.5,1212.4,1235,1508.9,1407.7
"Scenario SHP,  Case EH",1709.9,0,0,0,0,1709.9,0,0,600,1079.9,1709.9,1709.9,0,0,1709.9,629.9,0,0,0,0,1709.9,1079.9,0,0
"Scenario SHP,  Case EL",1799.9,1799.9,1799.9,1799.9,1799.9,1799.9,1799.9,1799.9,1799.9,1799.9,1799.9,1799.9,1799.9,1799.9,1799.9,1799.9,1799.9,1799.9,1799.9,1799.9,1799.9,1799.9,1791.9,1682.2
